"location","source","target"
"pretix/base/services/update_check.py:93","Hi!

An update is available for pretix or for one of the plugins you installed in your pretix installation. Please click on the following link for more information:

 {url} 

You can always find information on the latest updates on the pretix.eu blog:

https://pretix.eu/about/en/blog/

Best,

your pretix developers","Hallo!

Es gibt ein Update für pretix oder eines der von dir installierten pretix-Plugins. Bitte klicke auf den folgenden Link für mehr Informationen:

  {url}

Neuste Informationen über Updates findest du immer im pretix.eu-Blog:

https://pretix.eu/about/de/blog/

Viele Grüße,

Deine pretix-Entwickler"
"pretix/base/services/update_check.py:122 pretix/base/services/update_check.py:124","Plugin: %s","Plugin: %s"
"pretix/base/settings.py:306","Hello,

you receive this message because you asked us to send you the link
to your order for {event}.

You can change your order details and view the status of your order at
{url}

Best regards,
Your {event} team","Hallo,

du erhältst diese Nachricht weil du einen neuen Link zu deiner Bestellung für
{event} angefordert hast.

Du kannst deine Bestellung unter folgender Adresse ändern und einsehen:
{url}

Viele Grüße,
Das {event} Team"
"pretix/base/settings.py:319","Hello,

somebody requested a list of your orders for {event}.
The list is as follows:

{orders}

Best regards,
Your {event} team","Hallo,

du erhältst diese Nachricht weil du einen neuen Link zu deinen Bestellungen für
{event} angefordert hast. Du findest deine Bestellungen unter folgenden Links:

{orders}

Viele Grüße,
Das {event} Team"
"pretix/base/settings.py:331","Hello,

your order for {event} was successful. As you only ordered free products,
no payment is required.

You can change your order details and view the status of your order at
{url}

Best regards,
Your {event} team","Hallo,

wir haben deine Bestellung für {event} erfolgreich abgeschlossen. Vielen Dank! Da keine
kostenpflichtigen Artikel bestellt wurden, ist keine Zahlung erforderlich.

Du kannst deine Bestellung unter folgender Adresse ändern und einsehen:
{url}

Viele Grüße,
Das {event} Team"
"pretix/base/settings.py:344","Hello,

we successfully received your order for {event}. Since you ordered
a product that requires approval by the event organizer, we ask you to
be patient and wait for our next email.

You can change your order details and view the status of your order at
{url}

Best regards,
Your {event} team","Hallo,

wir haben deine Bestellung für {event} erhalten. Da du ein Produkt bestellt hast,
das eine manuelle Freigabe vom Veranstalter erfordert, bitten wir dich um etwas
Geduld. Wir werden dich per E-Mail über den Fortgang deiner Bestellung informieren.

Du kannst deine Bestellung unter folgender Adresse ändern und einsehen:
{url}

Viele Grüße,
Das {event} Team"
"pretix/base/settings.py:358","Hello,

we successfully received your order for {event} with a total value
of {total_with_currency}. Please complete your payment before {date}.

{payment_info}

You can change your order details and view the status of your order at
{url}

Best regards,
Your {event} team","Hallo,

wir haben deine Bestellung für {event} mit einem Gesamtbetrag von
{total_with_currency} erhalten. Bitte schließe die Bezahlung bis {date} ab.
{payment_info}

Du kannst deine Bestellung unter folgender Adresse einsehen und ändern:
{url}

Viele Grüße,
Das {event} Team"
"pretix/base/settings.py:373","Hello,

your order for {event} has been changed.

You can view the status of your order at
{url}

Best regards,
Your {event} team","Hallo,

deine Bestellung für {event} wurde geändert.

Du kannst deine Bestellung unter folgender Adresse ändern und einsehen:
{url}

Viele Grüße,
Das {event} Team"
"pretix/base/settings.py:385","Hello,

we successfully received your payment for {event}. Thank you!

{payment_info}

You can change your order details and view the status of your order at
{url}

Best regards,
Your {event} team","Hallo,

wir haben deine Zahlung für {event} erfolgreich erhalten. Vielen Dank!

{payment_info}

Du kannst deine Bestellung unter folgender Adresse ändern und einsehen:
{url}

Viele Grüße,
Das {event} Team"
"pretix/base/settings.py:403","Hello,

we did not yet receive a full payment for your order for {event}.
Please keep in mind that we only guarantee your order if we receive
your payment before {expire_date}.

You can view the payment information and the status of your order at
{url}

Best regards,
Your {event} team","Hallo,

wir haben für deine Bestellung für {event} noch keine vollständige Zahlung erhalten.
Bitte beachte, dass wir deine Bestellung nur garantieren können, wenn wir das
Geld bis zum {expire_date} erhalten.

Du kannst deine Bestellung unter folgender Adresse einsehen und ändern:
{url}

Viele Grüße,
Das {event} Team"
"pretix/base/settings.py:417","Hello,

you submitted yourself to the waiting list for {event},
for the product {product}.

We now have a ticket ready for you! You can redeem it in our ticket shop
within the next {hours} hours by entering the following voucher code:

{code}

Alternatively, you can just click on the following link:

{url}

Please note that this link is only valid within the next {hours} hours!
We will reassign the ticket to the next person on the list if you do not
redeem the voucher within that timeframe.

Best regards,
Your {event} team","Hallo,

du hast dich auf die Warteliste für {event} 
für das Produkt {product} eingetragen.

Wir haben nun ein Ticket für dich! Du kannst es in unserem Ticket-Shop erwerben,
indem du in den nächsten {hours} Stunden den folgenden Gutscheincode eingibst:

{code}

Alternativ kannst du auch auf den folgenden Link klicken:

{url}

Bitte beachte, dass dieser Link nur in den nächsten {hours} Stunden gültig
ist! Wir werden das Ticket an die nächste Person auf der Warteliste weitergeben,
wenn du den Gutschein nicht in diesem Zeitraum einlöst.

Viele Grüße,
Dein {event} Team"
"pretix/base/settings.py:440","Hello,

your order {code} for {event} has been canceled.

You can view the details of your order at
{url}

Best regards,
Your {event} team","Hallo,

deine Bestellung {code} für {event} wurde storniert.

Du kannst deine Bestellung unter folgender Adresse einsehen:
{url}

Viele Grüße,
Das {event} Team"
"pretix/base/settings.py:452","Hello,

we approved your order for {event} and will be happy to welcome you
at our event.

Please continue by paying for your order before {date}.

You can select a payment method and perform the payment here:

{url}

Best regards,
Your {event} team","Hallo,

wir haben deine Bestellung für {event} freigegeben und freuen uns, dich auf unserer
Veranstaltung zu begrüßen. Bitte fahre fort, indem du bis zum {date} die
Bezahlung abschließt.

Dies kannst du unter folgender Adresse tun:
{url}

Viele Grüße,
Das {event} Team"
"pretix/base/settings.py:468","Hello,

unfortunately, we denied your order request for {event}.

{comment}

You can view the details of your order here:

{url}

Best regards,
Your {event} team","Hallo,

deine Bestellung für {event} wurde leider abgelehnt.

{comment}

Du kannst deine Bestellung unter folgender Adresse einsehen:
{url}

Viele Grüße,
Das {event} Team"
"pretix/base/settings.py:483","Hello,

You can change your order details and view the status of your order at
{url}

Best regards,
Your {event} team","Hallo,

du kannst deine Bestellung unter folgender Adresse ändern und einsehen:
{url}

Viele Grüße,
Das {event} Team"
"pretix/base/settings.py:497","Hello,

you bought a ticket for {event}.

If you did not do so already, you can download your ticket here:
{url}

Best regards,
Your {event} team","Hallo,

du hast ein Ticket für {event} gekauft.

Wenn noch nicht geschehen, kannst du dein Ticket hier herunterladen:
{url}

Viele Grüße,
Das {event} Team"
"pretix/base/settings.py:635 pretix/base/settings.py:648 pretix/base/settings.py:698 pretix/base/settings.py:711 pretix/base/settings.py:725","Given name","Vorname"
"pretix/base/settings.py:636 pretix/base/settings.py:649 pretix/base/settings.py:665 pretix/base/settings.py:682 pretix/base/settings.py:697 pretix/base/settings.py:712 pretix/base/settings.py:726","Family name","Nachname"
"pretix/base/settings.py:640 pretix/base/settings.py:656 pretix/base/settings.py:671 pretix/base/settings.py:689 pretix/base/settings.py:704 pretix/base/settings.py:734 pretix/base/settings.py:757","John","Max"
"pretix/base/settings.py:641 pretix/base/settings.py:657 pretix/base/settings.py:673 pretix/base/settings.py:691 pretix/base/settings.py:705 pretix/base/settings.py:735","Doe","Mustermann"
"pretix/base/settings.py:647 pretix/base/settings.py:679","Title","Titel"
"pretix/base/settings.py:655 pretix/base/settings.py:688","Dr","Dr."
"pretix/base/settings.py:663 pretix/base/settings.py:680","First name","Vorname"
"pretix/base/settings.py:664 pretix/base/settings.py:681","Middle name","Mittlerer Name"
"pretix/base/settings.py:745 pretix/base/settings.py:756","John Doe","Max Mustermann"
"pretix/base/settings.py:751","Calling name","Rufname"
"pretix/base/settings.py:764","Latin transcription","Transkription"
"pretix/base/shredder.py:38 pretix/base/shredder.py:41","Your event needs to be over for at least 60 days to use this feature.","Die Veranstaltung muss mindestens 60 Tage vorüber sein, damit diese Funktion bereitsteht."
"pretix/base/shredder.py:43","Your ticket shop needs to be offline to use this feature.","Der Ticketshop muss abgeschaltet sein, damit diese Funktion bereit steht."
"pretix/base/shredder.py:125","E-mails","E-Mails"
"pretix/base/shredder.py:127","This will remove all e-mail addresses from orders and attendees, as well as logged email contents.","Dies entfernt alle E-Mail-Adressen und gespeicherte E-Mail-Inhalte von Bestellungen und Teilnehmer*innen."
"pretix/base/shredder.py:172","This will remove all email addresses from the waiting list.","Dies entfernt alle E-Mail-Adressen von der Warteliste."
"pretix/base/shredder.py:198","Attendee names","Teilnehmer*innennamen"
"pretix/base/shredder.py:200","This will remove all attendee names from order positions, as well as logged changes to them.","Dies entfernt alle Teilnehmer*innennamen von Bestellungen, sowie Änderungen an diesen."
"pretix/base/shredder.py:236","Invoice addresses","Rechnungsadressen"
"pretix/base/shredder.py:239","This will remove all invoice addresses from orders, as well as logged changes to them.","Dies entfernt alle Rechnungsadressen von Bestellungen sowie deren Änderungshistorie."
"pretix/base/shredder.py:263","Question answers","Antworten auf Fragen"
"pretix/base/shredder.py:265","This will remove all answers to questions, as well as logged changes to them.","Dies entfernt alle Antworten auf Fragen sowie die dazu gespeicherte Änderungshistorie."
"pretix/base/shredder.py:293","This will remove all invoice PDFs, as well as any of their text content that might contain personal data from the database. Invoice numbers and totals will be conserved.","Dies entfernt alle PDF-Dateien zu Rechnungen sowie die Texte von den Rechnungen die persönliche Daten enthalten könnten. Rechnungsnummern und Beträge bleiben erhalten."
"pretix/base/shredder.py:320","Cached ticket files","Zwischengespeicherte Tickets"
"pretix/base/shredder.py:322","This will remove all cached ticket files. No download will be offered.","Dies löscht alle generierten Ticket-Dateien. Es wird kein Download angeboten."
"pretix/base/shredder.py:337","This will remove payment-related information. Depending on the payment method, all data will be removed or personal data only. No download will be offered.","Dies löscht alle Zahlungsdaten. Abhängig von der Zahlungsart bleiben manche Daten erhalten und nur die personenbezogenen Daten werden gelöscht. Es wird kein Download angeboten."
